node,datetime,generator,Generation,Capacity Curtailed
Sauzal110_BP2,2024-01-28T17:00:00.000000,CIPRESILLOS,0.0,0.0
Sauzal110_BP2,2024-01-28T18:00:00.000000,CIPRESILLOS,0.0,0.0
Sauzal110_BP2,2024-01-29T09:00:00.000000,CIPRESILLOS,0.0,0.0
Sauzal110_BP2,2024-01-30T09:00:00.000000,CIPRESILLOS,0.0,0.0
Itahue154,2024-01-28T08:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-28T09:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-28T10:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-28T11:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-28T12:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-28T13:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-28T14:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-28T15:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-28T16:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-28T17:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-28T18:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-29T09:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Itahue154,2024-01-30T09:00:00.000000,CONVENTO_VIEJO,9.0,0.0
Sauzal110_BP2,2024-01-28T08:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-28T09:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-28T10:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-28T11:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-28T12:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-28T13:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-28T14:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-28T15:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-28T16:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-28T17:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-28T18:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-29T09:00:00.000000,COYA,0.0,0.0
Sauzal110_BP2,2024-01-30T09:00:00.000000,COYA,0.0,0.0
Rahue220,2024-01-28T08:00:00.000000,CUMBRES,8.0,0.0
Rahue220,2024-01-28T09:00:00.000000,CUMBRES,8.0,0.0
